id,img_type,k,mse,psnr,original_size,compressed_size,cr,comp_time
a1_8_1,a,8,0.0034487,72.75,85850,45141,0.47,0.32
a1_8_2,a,8,0.0034506,72.75,85850,45248,0.47,0.16
a1_8_3,a,8,0.0031700,73.12,85850,46270,0.46,0.21
a1_16_1,a,16,0.0014842,76.42,85850,46141,0.46,0.22
a1_16_2,a,16,0.0014836,76.42,85850,46091,0.46,0.28
a1_16_3,a,16,0.0015051,76.36,85850,46022,0.46,0.25
a1_32_1,a,32,0.0007864,79.17,85850,45880,0.47,0.41
a1_32_2,a,32,0.0007817,79.20,85850,45882,0.47,0.40
a1_32_3,a,32,0.0007871,79.17,85850,45873,0.47,0.35
a1_64_1,a,64,0.0004557,81.54,85850,45810,0.47,0.77
a1_64_2,a,64,0.0004555,81.55,85850,45764,0.47,0.72
a1_64_3,a,64,0.0004491,81.61,85850,45746,0.47,0.73
a1_96_1,a,96,0.0003358,82.87,85850,45787,0.47,1.18
a1_96_2,a,96,0.0003362,82.87,85850,45786,0.47,1.17
a1_96_3,a,96,0.0003405,82.81,85850,45736,0.47,1.46
a1_128_1,a,128,0.0002743,83.75,85850,45775,0.47,3.09
a1_128_2,a,128,0.0002725,83.78,85850,45759,0.47,1.47
a1_128_3,a,128,0.0002733,83.76,85850,45785,0.47,2.03
a2_8_1,a,8,0.0007853,79.18,41631,14892,0.64,0.22
a2_8_2,a,8,0.0007875,79.17,41631,14694,0.65,0.18
a2_8_3,a,8,0.0007853,79.18,41631,14892,0.64,0.17
a2_16_1,a,16,0.0004432,81.66,41631,14806,0.64,0.26
a2_16_2,a,16,0.0004277,81.82,41631,14940,0.64,0.28
a2_16_3,a,16,0.0004413,81.68,41631,14574,0.65,0.24
a2_32_1,a,32,0.0002210,84.69,41631,14968,0.64,0.32
a2_32_2,a,32,0.0002186,84.74,41631,14852,0.64,0.48
a2_32_3,a,32,0.0002193,84.72,41631,14948,0.64,0.47
a2_64_1,a,64,0.0001189,87.38,41631,14838,0.64,0.82
a2_64_2,a,64,0.0001178,87.42,41631,14873,0.64,0.71
a2_64_3,a,64,0.0001186,87.39,41631,14898,0.64,1.17
a2_96_1,a,96,0.0000859,88.79,41631,14923,0.64,2.55
a2_96_2,a,96,0.0000863,88.77,41631,14927,0.64,1.86
a2_96_3,a,96,0.0000877,88.70,41631,14956,0.64,0.84
a2_128_1,a,128,0.0000720,89.56,41631,14943,0.64,1.69
a2_128_2,a,128,0.0000716,89.58,41631,14942,0.64,1.53
a2_128_3,a,128,0.0000714,89.60,41631,14913,0.64,1.65
a3_8_1,a,8,0.0008365,78.91,71570,21023,0.71,0.23
a3_8_2,a,8,0.0008335,78.92,71570,21053,0.71,0.15
a3_8_3,a,8,0.0008335,78.92,71570,21053,0.71,0.17
a3_16_1,a,16,0.0002221,84.66,71570,20797,0.71,0.20
a3_16_2,a,16,0.0002232,84.64,71570,20636,0.71,0.16
a3_16_3,a,16,0.0002224,84.66,71570,20697,0.71,0.19
a3_32_1,a,32,0.0000598,90.36,71570,20100,0.72,0.26
a3_32_2,a,32,0.0000579,90.50,71570,19944,0.72,0.26
a3_32_3,a,32,0.0000591,90.41,71570,20067,0.72,0.28
a3_64_1,a,64,0.0000144,96.53,71570,19916,0.72,0.42
a3_64_2,a,64,0.0000145,96.51,71570,19921,0.72,0.45
a3_64_3,a,64,0.0000147,96.45,71570,19931,0.72,0.41
a3_96_1,a,96,0.0000066,99.96,71570,19901,0.72,0.85
a3_96_2,a,96,0.0000067,99.89,71570,19903,0.72,1.89
a3_96_3,a,96,0.0000069,99.76,71570,19875,0.72,1.10
a3_128_1,a,128,0.0000037,102.46,71570,19894,0.72,0.74
a3_128_2,a,128,0.0000035,102.70,71570,19916,0.72,0.79
a3_128_3,a,128,0.0000037,102.45,71570,19910,0.72,0.80
b1_8_1,b,8,0.0039445,72.17,120819,36703,0.70,0.23
b1_8_2,b,8,0.0037875,72.35,120819,36608,0.70,0.22
b1_8_3,b,8,0.0037844,72.35,120819,36833,0.70,0.32
b1_16_1,b,16,0.0019143,75.31,120819,37745,0.69,0.40
b1_16_2,b,16,0.0019480,75.23,120819,37949,0.69,0.34
b1_16_3,b,16,0.0018918,75.36,120819,37324,0.69,0.39
b1_32_1,b,32,0.0010243,78.03,120819,37493,0.69,0.73
b1_32_2,b,32,0.0010231,78.03,120819,37657,0.69,0.85
b1_32_3,b,32,0.0010282,78.01,120819,37549,0.69,0.73
b1_64_1,b,64,0.0005783,80.51,120819,37634,0.69,1.35
b1_64_2,b,64,0.0005752,80.53,120819,37528,0.69,1.49
b1_64_3,b,64,0.0005742,80.54,120819,37709,0.69,1.65
b1_96_1,b,96,0.0004171,81.93,120819,37693,0.69,3.44
b1_96_2,b,96,0.0004179,81.92,120819,37697,0.69,3.63
b1_96_3,b,96,0.0004191,81.91,120819,37783,0.69,2.25
b1_128_1,b,128,0.0003367,82.86,120819,37830,0.69,2.97
b1_128_2,b,128,0.0003377,82.85,120819,37767,0.69,5.38
b1_128_3,b,128,0.0003388,82.83,120819,37828,0.69,3.12
b2_8_1,b,8,0.0018158,75.54,82921,27587,0.67,0.25
b2_8_2,b,8,0.0016962,75.84,82921,27853,0.66,0.32
b2_8_3,b,8,0.0016966,75.83,82921,27825,0.66,0.36
b2_16_1,b,16,0.0007690,79.27,82921,28362,0.66,0.36
b2_16_2,b,16,0.0007665,79.29,82921,28409,0.66,0.41
b2_16_3,b,16,0.0007532,79.36,82921,28276,0.66,0.36
b2_32_1,b,32,0.0003866,82.26,82921,27345,0.67,0.58
b2_32_2,b,32,0.0003952,82.16,82921,27635,0.67,0.65
b2_32_3,b,32,0.0003834,82.29,82921,27466,0.67,0.88
b2_64_1,b,64,0.0002118,84.87,82921,27110,0.67,1.64
b2_64_2,b,64,0.0002100,84.91,82921,27095,0.67,2.00
b2_64_3,b,64,0.0002155,84.80,82921,27112,0.67,0.99
b2_96_1,b,96,0.0001544,86.24,82921,26878,0.68,2.14
b2_96_2,b,96,0.0001533,86.28,82921,26755,0.68,1.75
b2_96_3,b,96,0.0001523,86.30,82921,26892,0.68,2.26
b2_128_1,b,128,0.0001222,87.26,82921,26586,0.68,2.96
b2_128_2,b,128,0.0001210,87.30,82921,26676,0.68,4.43
b2_128_3,b,128,0.0001214,87.29,82921,26712,0.68,2.32
b3_8_1,b,8,0.0101384,68.07,165628,42531,0.74,0.24
b3_8_2,b,8,0.0098550,68.19,165628,43691,0.74,0.25
b3_8_3,b,8,0.0100678,68.10,165628,42620,0.74,0.21
b3_16_1,b,16,0.0052104,70.96,165628,44526,0.73,0.36
b3_16_2,b,16,0.0052459,70.93,165628,44246,0.73,0.37
b3_16_3,b,16,0.0050716,71.08,165628,43132,0.74,0.31
b3_32_1,b,32,0.0026825,73.85,165628,43921,0.73,0.67
b3_32_2,b,32,0.0026836,73.84,165628,43755,0.74,0.52
b3_32_3,b,32,0.0027575,73.73,165628,43959,0.73,0.89
b3_64_1,b,64,0.0015342,76.27,165628,43665,0.74,1.39
b3_64_2,b,64,0.0015601,76.20,165628,44077,0.73,1.65
b3_64_3,b,64,0.0015260,76.30,165628,43751,0.74,2.49
b3_96_1,b,96,0.0011209,77.63,165628,44162,0.73,2.87
b3_96_2,b,96,0.0011194,77.64,165628,44152,0.73,3.01
b3_96_3,b,96,0.0011202,77.64,165628,44101,0.73,3.32
b3_128_1,b,128,0.0009096,78.54,165628,44267,0.73,5.22
b3_128_2,b,128,0.0009104,78.54,165628,44250,0.73,3.26
b3_128_3,b,128,0.0009175,78.50,165628,44095,0.73,3.27
c1_8_1,c,8,0.0030419,73.30,313000,93447,0.70,0.45
c1_8_2,c,8,0.0030345,73.31,313000,93271,0.70,0.38
c1_8_3,c,8,0.0030412,73.30,313000,93450,0.70,0.55
c1_16_1,c,16,0.0016609,75.93,313000,93935,0.70,0.95
c1_16_2,c,16,0.0016681,75.91,313000,94143,0.70,1.23
c1_16_3,c,16,0.0016678,75.91,313000,93978,0.70,1.84
c1_32_1,c,32,0.0009708,78.26,313000,94358,0.70,0.99
c1_32_2,c,32,0.0009809,78.21,313000,94561,0.70,1.22
c1_32_3,c,32,0.0009829,78.21,313000,94249,0.70,1.21
c1_64_1,c,64,0.0005847,80.46,313000,94542,0.70,2.53
c1_64_2,c,64,0.0005878,80.44,313000,94355,0.70,2.54
c1_64_3,c,64,0.0005806,80.49,313000,94534,0.70,3.14
c1_96_1,c,96,0.0004381,81.71,313000,94311,0.70,5.48
c1_96_2,c,96,0.0004379,81.72,313000,94285,0.70,4.08
c1_96_3,c,96,0.0004386,81.71,313000,94222,0.70,4.82
c1_128_1,c,128,0.0003612,82.55,313000,94266,0.70,5.75
c1_128_2,c,128,0.0003591,82.58,313000,94198,0.70,7.94
c1_128_3,c,128,0.0003589,82.58,313000,94117,0.70,7.76
c2_8_1,c,8,0.0017862,75.61,284573,78710,0.72,0.65
c2_8_2,c,8,0.0018969,75.35,284573,79018,0.72,0.83
c2_8_3,c,8,0.0018937,75.36,284573,79086,0.72,0.62
c2_16_1,c,16,0.0009075,78.55,284573,80473,0.72,1.19
c2_16_2,c,16,0.0009077,78.55,284573,80559,0.72,0.91
c2_16_3,c,16,0.0008992,78.59,284573,80219,0.72,0.55
c2_32_1,c,32,0.0005041,81.11,284573,79761,0.72,1.27
c2_32_2,c,32,0.0005084,81.07,284573,79715,0.72,1.63
c2_32_3,c,32,0.0005089,81.06,284573,79646,0.72,1.12
c2_64_1,c,64,0.0002970,83.40,284573,79699,0.72,2.27
c2_64_2,c,64,0.0002972,83.40,284573,79586,0.72,2.61
c2_64_3,c,64,0.0003005,83.35,284573,79723,0.72,3.72
c2_96_1,c,96,0.0002194,84.72,284573,79488,0.72,3.81
c2_96_2,c,96,0.0002218,84.67,284573,79321,0.72,4.25
c2_96_3,c,96,0.0002192,84.72,284573,79428,0.72,7.74
c2_128_1,c,128,0.0001798,85.58,284573,79336,0.72,6.48
c2_128_2,c,128,0.0001817,85.54,284573,79319,0.72,5.98
c2_128_3,c,128,0.0001791,85.60,284573,79350,0.72,5.25
c3_8_1,c,8,0.0011989,77.34,238253,60182,0.75,0.47
c3_8_2,c,8,0.0010955,77.73,238253,60136,0.75,0.51
c3_8_3,c,8,0.0010952,77.74,238253,60170,0.75,0.37
c3_16_1,c,16,0.0007001,79.68,238253,60219,0.75,0.65
c3_16_2,c,16,0.0006920,79.73,238253,60599,0.75,0.58
c3_16_3,c,16,0.0006873,79.76,238253,60713,0.75,0.69
c3_32_1,c,32,0.0003980,82.13,238253,61324,0.74,1.30
c3_32_2,c,32,0.0003994,82.12,238253,61277,0.74,2.01
c3_32_3,c,32,0.0003956,82.16,238253,61417,0.74,1.29
c3_64_1,c,64,0.0002427,84.28,238253,61786,0.74,2.49
c3_64_2,c,64,0.0002434,84.27,238253,61816,0.74,3.10
c3_64_3,c,64,0.0002429,84.28,238253,61492,0.74,2.85
c3_96_1,c,96,0.0001868,85.42,238253,61813,0.74,4.75
c3_96_2,c,96,0.0001845,85.47,238253,61859,0.74,4.16
c3_96_3,c,96,0.0001850,85.46,238253,61610,0.74,3.30
c3_128_1,c,128,0.0001519,86.32,238253,61933,0.74,5.93
c3_128_2,c,128,0.0001519,86.32,238253,61693,0.74,6.41
c3_128_3,c,128,0.0001524,86.30,238253,61583,0.74,7.10
d1_8_1,d,8,0.0031073,73.21,376351,113604,0.70,0.86
d1_8_2,d,8,0.0030880,73.23,376351,107606,0.71,0.98
d1_8_3,d,8,0.0030172,73.33,376351,115605,0.69,0.80
d1_16_1,d,16,0.0012778,77.07,376351,117152,0.69,1.07
d1_16_2,d,16,0.0012781,77.07,376351,117203,0.69,1.37
d1_16_3,d,16,0.0013298,76.89,376351,117541,0.69,1.77
d1_32_1,d,32,0.0006817,79.80,376351,118500,0.69,6.80
d1_32_2,d,32,0.0006834,79.78,376351,117769,0.69,2.75
d1_32_3,d,32,0.0006617,79.92,376351,118952,0.68,3.82
d1_64_1,d,64,0.0003532,82.65,376351,117997,0.69,9.66
d1_64_2,d,64,0.0003541,82.64,376351,118189,0.69,6.58
d1_64_3,d,64,0.0003545,82.63,376351,118041,0.69,6.95
d1_96_1,d,96,0.0002562,84.04,376351,117497,0.69,10.22
d1_96_2,d,96,0.0002547,84.07,376351,117646,0.69,9.37
d1_96_3,d,96,0.0002532,84.10,376351,117325,0.69,12.69
d1_128_1,d,128,0.0002030,85.06,376351,117512,0.69,11.09
d1_128_2,d,128,0.0002039,85.04,376351,117265,0.69,15.12
d1_128_3,d,128,0.0002035,85.05,376351,117222,0.69,12.80
d2_8_1,d,8,0.0024826,74.18,243282,77827,0.68,1.04
d2_8_2,d,8,0.0024149,74.30,243282,77572,0.68,0.85
d2_8_3,d,8,0.0023675,74.39,243282,78835,0.68,0.89
d2_16_1,d,16,0.0008727,78.72,243282,80759,0.67,1.25
d2_16_2,d,16,0.0008732,78.72,243282,80787,0.67,1.43
d2_16_3,d,16,0.0008909,78.63,243282,82305,0.66,0.99
d2_32_1,d,32,0.0003995,82.12,243282,80134,0.67,2.71
d2_32_2,d,32,0.0004035,82.07,243282,79281,0.67,4.10
d2_32_3,d,32,0.0004040,82.07,243282,79783,0.67,2.30
d2_64_1,d,64,0.0001912,85.32,243282,76564,0.69,5.15
d2_64_2,d,64,0.0001888,85.37,243282,75962,0.69,5.83
d2_64_3,d,64,0.0001884,85.38,243282,76426,0.69,5.84
d2_96_1,d,96,0.0001280,87.06,243282,73408,0.70,8.39
d2_96_2,d,96,0.0001295,87.01,243282,73667,0.70,7.80
d2_96_3,d,96,0.0001289,87.03,243282,73736,0.70,10.21
d2_128_1,d,128,0.0001017,88.06,243282,72352,0.70,12.91
d2_128_2,d,128,0.0001005,88.11,243282,72073,0.70,11.32
d2_128_3,d,128,0.0000996,88.15,243282,72035,0.70,9.47
d3_8_1,d,8,0.0021489,74.81,240508,104365,0.57,1.21
d3_8_2,d,8,0.0021477,74.81,240508,104341,0.57,0.78
d3_8_3,d,8,0.0021111,74.89,240508,102426,0.57,0.96
d3_16_1,d,16,0.0010632,77.86,240508,104379,0.57,1.38
d3_16_2,d,16,0.0010716,77.83,240508,104938,0.56,1.62
d3_16_3,d,16,0.0010422,77.95,240508,105902,0.56,1.10
d3_32_1,d,32,0.0004990,81.15,240508,106151,0.56,3.26
d3_32_2,d,32,0.0005027,81.12,240508,106520,0.56,4.19
d3_32_3,d,32,0.0005009,81.13,240508,106730,0.56,2.83
d3_64_1,d,64,0.0002725,83.78,240508,105858,0.56,7.47
d3_64_2,d,64,0.0002681,83.85,240508,105600,0.56,5.89
d3_64_3,d,64,0.0002688,83.84,240508,105902,0.56,7.54
d3_96_1,d,96,0.0001911,85.32,240508,105352,0.56,8.35
d3_96_2,d,96,0.0001923,85.29,240508,105558,0.56,10.90
d3_96_3,d,96,0.0001914,85.31,240508,105236,0.56,9.67
d3_128_1,d,128,0.0001523,86.30,240508,104894,0.56,12.45
d3_128_2,d,128,0.0001516,86.32,240508,104879,0.56,16.31
d3_128_3,d,128,0.0001521,86.31,240508,104960,0.56,15.38
